jaar_week;datum_maandag;gemeente;domein_code;regeling_code;zaaktype;ingediend_aantal;ingediend_cumul;beschikt_aantal;beschikt_cumul;toegekend_aantal;toegekend_cumul;afgewezen_aantal;afgewezen_cumul;anders_afgehandeld_aantal;anders_afgehandeld_cumul;afgerond_aantal;afgerond_cumul;besch_totaal_eur;besch_totaal_cumul_eur;besch_schade_eur;besch_schade_cumul_eur;bet_schade_eur;bet_schade_cumul_eur;bet_totaal_eur;bet_totaal_cumul_eur;aos_gegrond_aantal;aos_gegrond_cumul;laad_dt
2017_13;2017-03-27;Midden-Groningen;FYSIEK;FS;S;12;12;0;0;0;0;0;0;0;0;0;0;351799,1492;351799,1492;333447,4892;333447,4892;320052,71;320052,71;338404,37;338404,37;;;2025-04-18T09:23:33
2017_13;2017-03-27;Oldambt;FYSIEK;FS;S;1;1;0;0;0;0;0;0;0;0;0;0;27626,02;27626,02;26545,98;26545,98;26545,98;26545,98;27626,02;27626,02;;;2025-04-18T09:23:33
2017_13;2017-03-27;Overig;FYSIEK;FS;S;1;3;0;0;0;0;0;0;0;0;0;0;15000;15000;15000;15000;15000;15000;15000;15000;;;2025-04-18T09:23:33
2017_13;2017-03-27;Tynaarlo;FYSIEK;FS;S;6;7;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_13;2017-03-27;Veendam;FYSIEK;FS;S;3;3;0;0;0;0;0;0;0;0;0;0;43817,61;43817,61;42250,75;42250,75;42250,75;42250,75;43817,61;43817,61;;;2025-04-18T09:23:33
2017_14;2017-04-03;Aa en Hunze;FYSIEK;FS;S;4;6;0;0;0;0;0;0;0;0;0;0;85000;100000;85000;100000;85000;100000;85000;100000;;;2025-04-18T09:23:33
2017_14;2017-04-03;Eemsdelta;FYSIEK;FS;S;39;48;0;0;0;0;0;0;0;0;0;0;1934688,697;2122691,657;1786442,057;1959688,917;1697973,36;1875546,22;1846220;2038548,96;;;2025-04-18T09:23:33
2017_14;2017-04-03;Groningen;FYSIEK;FS;S;56;83;0;0;0;0;0;0;0;0;0;0;3895646,512;4408882,373;3632457,792;4107666,643;3548943,89;4021218,85;3812132,61;4322434,58;;;2025-04-18T09:23:33
2017_14;2017-04-03;Het Hogeland;FYSIEK;FS;S;21;34;0;0;0;0;0;0;0;0;0;0;1021824,382;1143310,202;936633,8822;1050713,422;882084,38;991085,89;1002821,09;1124306,91;;;2025-04-18T09:23:33
2017_14;2017-04-03;Midden-Groningen;FYSIEK;FS;S;38;50;0;0;0;0;0;0;0;0;0;0;2485057,464;2836856,613;2328338,464;2661785,953;2130522,25;2450574,96;2287241,25;2625645,62;;;2025-04-18T09:23:33
2017_14;2017-04-03;Oldambt;FYSIEK;FS;S;8;9;0;0;0;0;0;0;0;0;0;0;272384,01;300010,03;258256,73;284802,71;258256,73;284802,71;272384,01;300010,03;;;2025-04-18T09:23:33
2017_14;2017-04-03;Overig;FYSIEK;FS;S;1;4;0;0;0;0;0;0;0;0;0;0;74573,2;89573,2;69923,35;84923,35;69923,35;84923,35;74573,2;89573,2;;;2025-04-18T09:23:33
2017_14;2017-04-03;Tynaarlo;FYSIEK;FS;S;0;7;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_14;2017-04-03;Veendam;FYSIEK;FS;S;3;6;0;0;0;0;0;0;0;0;0;0;260481,29;304298,9;250892,42;293143,17;250892,42;293143,17;260481,29;304298,9;;;2025-04-18T09:23:33
2017_14;2017-04-03;Westerkwartier;FYSIEK;FS;S;1;3;0;0;0;0;0;0;0;0;0;0;76544,73;76544,73;70553,67;70553,67;70553,67;70553,67;76544,73;76544,73;;;2025-04-18T09:23:33
2017_15;2017-04-10;Aa en Hunze;FYSIEK;FS;S;0;6;0;0;0;0;0;0;0;0;0;0;105000;205000;105000;205000;105000;205000;105000;205000;;;2025-04-18T09:23:33
2017_15;2017-04-10;Assen;FYSIEK;FS;S;1;1;0;0;0;0;0;0;0;0;0;0;35000;35000;35000;35000;35000;35000;35000;35000;;;2025-04-18T09:23:33
2017_15;2017-04-10;Eemsdelta;FYSIEK;FS;S;31;79;0;0;0;0;0;0;0;0;0;0;3901413,621;6024105,278;3618561,601;5578250,518;3417200,95;5292747,17;3746662,68;5785211,64;;;2025-04-18T09:23:33
2017_15;2017-04-10;Groningen;FYSIEK;FS;S;40;123;0;0;0;0;0;0;0;0;0;0;7126782,422;11535664,8;6697553,012;10805219,66;6411272,87;10432491,72;6840502,28;11162936,86;;;2025-04-18T09:23:33
2017_15;2017-04-10;Het Hogeland;FYSIEK;FS;S;22;56;0;0;0;0;0;0;0;0;0;0;1914799,809;3058110,011;1772828,299;2823541,721;1715111,55;2706197,44;1892629,27;3016936,18;;;2025-04-18T09:23:33
2017_15;2017-04-10;Midden-Groningen;FYSIEK;FS;S;27;77;0;0;0;0;0;0;0;0;0;0;4457066,355;7293922,968;4182247,605;6844033,558;3897826,57;6348401,53;4172645,32;6798290,94;;;2025-04-18T09:23:33
2017_15;2017-04-10;Noordenveld;FYSIEK;FS;S;1;1;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_15;2017-04-10;Oldambt;FYSIEK;FS;S;6;15;0;0;0;0;0;0;0;0;0;0;540273,05;840283,08;514463,11;799265,82;514463,11;799265,82;540273,05;840283,08;;;2025-04-18T09:23:33
2017_15;2017-04-10;Overig;FYSIEK;FS;S;0;4;0;0;0;0;0;0;0;0;0;0;90402,48;179975,68;83892,69;168816,04;83892,69;168816,04;90402,48;179975,68;;;2025-04-18T09:23:33
2017_15;2017-04-10;Tynaarlo;FYSIEK;FS;S;4;11;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_15;2017-04-10;Veendam;FYSIEK;FS;S;6;12;0;0;0;0;0;0;0;0;0;0;576711,96;881010,86;549292,74;842435,91;549292,74;842435,91;576711,96;881010,86;;;2025-04-18T09:23:33
2017_15;2017-04-10;Westerkwartier;FYSIEK;FS;S;6;9;0;0;0;0;0;0;0;0;0;0;389158,2987;465703,0287;353311,5487;423865,2187;353311,56;423865,23;389158,31;465703,04;;;2025-04-18T09:23:33
2017_16;2017-04-17;Aa en Hunze;FYSIEK;FS;S;2;8;0;0;0;0;0;0;0;0;0;0;145000;350000;145000;350000;145000;350000;145000;350000;;;2025-04-18T09:23:33
2017_16;2017-04-17;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;70000;35000;70000;35000;70000;35000;70000;;;2025-04-18T09:23:33
2017_16;2017-04-17;Eemsdelta;FYSIEK;FS;S;33;112;0;0;0;0;0;0;0;0;0;0;5678006,852;11702112,13;5244308,662;10822559,18;5017473,08;10310220,25;5497780,98;11282992,62;;;2025-04-18T09:23:33
2017_16;2017-04-17;Groningen;FYSIEK;FS;S;32;155;0;0;0;0;0;0;0;0;0;0;9014008,483;20549673,28;8496081,183;19301300,84;8135246,25;18567737,97;8653173,55;19816110,41;;;2025-04-18T09:23:33
2017_16;2017-04-17;Het Hogeland;FYSIEK;FS;S;14;70;0;0;0;0;0;0;0;0;0;0;2986800,08;6044910,091;2747530,27;5571071,991;2687632,76;5393830,2;2962448,78;5979384,96;;;2025-04-18T09:23:33
2017_16;2017-04-17;Midden-Groningen;FYSIEK;FS;S;28;105;0;0;0;0;0;0;0;0;0;0;5940498,987;13234421,96;5562633,087;12406666,65;5225097,49;11573499,02;5602963,39;12401254,33;;;2025-04-18T09:23:33
2017_16;2017-04-17;Noordenveld;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_16;2017-04-17;Oldambt;FYSIEK;FS;S;6;21;0;0;0;0;0;0;0;0;0;0;1054776,6;1895059,68;1005165,34;1804431,16;1005165,34;1804431,16;1054776,6;1895059,68;;;2025-04-18T09:23:33
2017_16;2017-04-17;Overig;FYSIEK;FS;S;1;5;0;0;0;0;0;0;0;0;0;0;115402,48;295378,16;108892,69;277708,73;108892,69;277708,73;115402,48;295378,16;;;2025-04-18T09:23:33
2017_16;2017-04-17;Pekela;FYSIEK;FS;S;1;1;0;0;0;0;0;0;0;0;0;0;196994,459;196994,459;180731,569;180731,569;180731,6;180731,6;196994,49;196994,49;;;2025-04-18T09:23:33
2017_16;2017-04-17;Tynaarlo;FYSIEK;FS;S;3;14;0;0;0;0;0;0;0;0;0;0;20000;20000;20000;20000;20000;20000;20000;20000;;;2025-04-18T09:23:33
2017_16;2017-04-17;Veendam;FYSIEK;FS;S;2;14;0;0;0;0;0;0;0;0;0;0;660256,9952;1541267,855;627125,2252;1469561,135;593782,14;1436218,05;626913,91;1507924,77;;;2025-04-18T09:23:33
2017_16;2017-04-17;Westerkwartier;FYSIEK;FS;S;4;13;0;0;0;0;0;0;0;0;0;0;738674,4762;1204377,505;670112,2362;1093977,455;635932,2;1059797,43;704494,44;1170197,48;;;2025-04-18T09:23:33
2017_17;2017-04-24;Aa en Hunze;FYSIEK;FS;S;2;10;0;0;0;0;0;0;0;0;0;0;210000;560000;210000;560000;210000;560000;210000;560000;;;2025-04-18T09:23:33
2017_17;2017-04-24;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;105000;35000;105000;35000;105000;35000;105000;;;2025-04-18T09:23:33
2017_17;2017-04-24;Eemsdelta;FYSIEK;FS;S;16;128;0;0;0;0;0;0;0;0;0;0;7426102,547;19128214,68;6865991,367;17688550,55;6639155,84;16949376,09;7245876,73;18528869,35;;;2025-04-18T09:23:33
2017_17;2017-04-24;Groningen;FYSIEK;FS;S;46;201;0;0;0;0;0;0;0;0;0;0;11252028;31801701,28;10603776,67;29905077,51;10022753,27;28590491,24;10685424,6;30501535,01;;;2025-04-18T09:23:33
2017_17;2017-04-24;Het Hogeland;FYSIEK;FS;S;18;88;0;0;0;0;0;0;0;0;0;0;3920928,043;9965838,134;3602863,553;9173935,544;3542093,73;8935923,93;3895704,43;9875089,39;;;2025-04-18T09:23:33
2017_17;2017-04-24;Midden-Groningen;FYSIEK;FS;S;30;135;0;0;0;0;0;0;0;0;0;0;7428542,776;20662964,73;6959893,706;19366560,35;6479829,2;18053328,22;6950801,47;19352055,8;;;2025-04-18T09:23:33
2017_17;2017-04-24;Noordenveld;FYSIEK;FS;S;1;2;0;0;0;0;0;0;0;0;0;0;48889,96;48889,96;41179,81;41179,81;41179,81;41179,81;48889,96;48889,96;;;2025-04-18T09:23:33
2017_17;2017-04-24;Oldambt;FYSIEK;FS;S;6;27;0;0;0;0;0;0;0;0;0;0;1397913,35;3292973,03;1332981,06;3137412,22;1332981,06;3137412,22;1397913,35;3292973,03;;;2025-04-18T09:23:33
2017_17;2017-04-24;Overig;FYSIEK;FS;S;0;5;0;0;0;0;0;0;0;0;0;0;125402,48;420780,64;118892,69;396601,42;118892,69;396601,42;125402,48;420780,64;;;2025-04-18T09:23:33
2017_17;2017-04-24;Pekela;FYSIEK;FS;S;1;2;0;0;0;0;0;0;0;0;0;0;241344,959;438339,4181;223548,469;404280,0381;223548,5;404280,1;241344,99;438339,48;;;2025-04-18T09:23:33
2017_17;2017-04-24;Tynaarlo;FYSIEK;FS;S;4;18;0;0;0;0;0;0;0;0;0;0;40735,85;60735,85;39831,07;59831,07;39831,07;59831,07;40735,85;60735,85;;;2025-04-18T09:23:33
2017_17;2017-04-24;Veendam;FYSIEK;FS;S;2;16;0;0;0;0;0;0;0;0;0;0;685587,4493;2226855,305;650978,6093;2120539,745;604298,29;2040516,34;638907,13;2146831,9;;;2025-04-18T09:23:33
2017_17;2017-04-24;Westerkwartier;FYSIEK;FS;S;4;17;0;0;0;0;0;0;0;0;0;0;1038140,684;2242518,188;953312,0035;2047289,458;893496,94;1953294,37;978325,62;2148523,1;;;2025-04-18T09:23:33
2017_18;2017-05-01;Aa en Hunze;FYSIEK;FS;S;2;12;0;0;0;0;0;0;0;0;0;0;210000;770000;210000;770000;210000;770000;210000;770000;;;2025-04-18T09:23:33
2017_18;2017-05-01;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;140000;35000;140000;35000;140000;35000;140000;;;2025-04-18T09:23:33
2017_18;2017-05-01;Eemsdelta;FYSIEK;FS;S;34;162;0;0;0;0;0;0;0;0;0;0;9354044,474;28482259,15;8622488,284;26311038,83;8350729,23;25300105,32;9133913,18;27662782,53;;;2025-04-18T09:23:33
2017_18;2017-05-01;Groningen;FYSIEK;FS;S;44;245;0;0;0;0;0;0;0;0;0;0;14320479,49;46122180,77;13421837,19;43326914,7;12766221,42;41356712,66;13685051,72;44186586,73;;;2025-04-18T09:23:33
2017_18;2017-05-01;Het Hogeland;FYSIEK;FS;S;22;110;0;0;0;0;0;0;0;0;0;0;5221200,152;15187038,29;4789203,422;13963138,97;4697669,94;13633593,87;5165212,88;15040302,27;;;2025-04-18T09:23:33
2017_18;2017-05-01;Midden-Groningen;FYSIEK;FS;S;36;171;0;0;0;0;0;0;0;0;0;0;9778160,066;30441124,8;9141151,006;28507711,36;8550144,58;26603472,8;9189864,04;28541919,84;;;2025-04-18T09:23:33
2017_18;2017-05-01;Noordenveld;FYSIEK;FS;S;1;3;0;0;0;0;0;0;0;0;0;0;249474,26;298364,22;226161,91;267341,72;226161,91;267341,72;249474,26;298364,22;;;2025-04-18T09:23:33
2017_18;2017-05-01;Oldambt;FYSIEK;FS;S;6;33;0;0;0;0;0;0;0;0;0;0;1836917,53;5129890,56;1733837,72;4871249,94;1733837,72;4871249,94;1836917,53;5129890,56;;;2025-04-18T09:23:33
2017_18;2017-05-01;Overig;FYSIEK;FS;S;1;6;0;0;0;0;0;0;0;0;0;0;154364,48;575145,12;144958,95;541560,37;144958,95;541560,37;154364,48;575145,12;;;2025-04-18T09:23:33
2017_18;2017-05-01;Pekela;FYSIEK;FS;S;0;2;0;0;0;0;0;0;0;0;0;0;248736,709;687076,1271;230684,619;634964,6571;230684,65;634964,75;248736,74;687076,22;;;2025-04-18T09:23:33
2017_18;2017-05-01;Tynaarlo;FYSIEK;FS;S;4;22;0;0;0;0;0;0;0;0;0;0;224127,09;284862,94;203923,89;263754,96;203923,89;263754,96;224127,09;284862,94;;;2025-04-18T09:23:33
2017_18;2017-05-01;Veendam;FYSIEK;FS;S;3;19;0;0;0;0;0;0;0;0;0;0;851566,9202;3078422,225;811969,2502;2932508,995;765288,92;2805805,26;804886,59;2951718,49;;;2025-04-18T09:23:33
2017_18;2017-05-01;Westerkwartier;FYSIEK;FS;S;2;19;0;0;0;0;0;0;0;0;0;0;1143927,616;3386445,804;1057407,896;3104697,354;997592,84;2950887,21;1084112,56;3232635,66;;;2025-04-18T09:23:33
2017_19;2017-05-08;Aa en Hunze;FYSIEK;FS;S;2;14;0;0;0;0;0;0;0;0;0;0;282166,36;1052166,36;276133,96;1046133,96;276133,96;1046133,96;282166,36;1052166,36;;;2025-04-18T09:23:33
2017_19;2017-05-08;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;175000;35000;175000;35000;175000;35000;175000;;;2025-04-18T09:23:33
2017_19;2017-05-08;Eemsdelta;FYSIEK;FS;S;25;187;0;0;0;0;0;0;0;0;0;0;11129312,18;39611571,33;10269733,32;36580772,15;9634321,73;34934427,05;10547535,57;38210318,1;;;2025-04-18T09:23:33
2017_19;2017-05-08;Groningen;FYSIEK;FS;S;29;274;0;0;0;0;0;0;0;0;0;0;17013830,82;63136011,59;15905642,78;59232557,48;15066541,78;56423254,44;16194917,82;60381504,55;;;2025-04-18T09:23:33
2017_19;2017-05-08;Het Hogeland;FYSIEK;FS;S;15;125;0;0;0;0;0;0;0;0;0;0;6160966,381;21348004,67;5658288,211;19621427,18;5575406,76;19209000,63;6113631,14;21153933,41;;;2025-04-18T09:23:33
2017_19;2017-05-08;Midden-Groningen;FYSIEK;FS;S;29;200;0;0;0;0;0;0;0;0;0;0;11417996,01;41859120,8;10659108,28;39166819,63;10076752,88;36680225,68;10838351,01;39380270,85;;;2025-04-18T09:23:33
2017_19;2017-05-08;Noordenveld;FYSIEK;FS;S;0;3;0;0;0;0;0;0;0;0;0;0;329707,98;628072,2;300154,75;567496,47;300154,75;567496,47;329707,98;628072,2;;;2025-04-18T09:23:33
2017_19;2017-05-08;Oldambt;FYSIEK;FS;S;1;34;0;0;0;0;0;0;0;0;0;0;1980746,81;7110637,37;1861861,65;6733111,59;1861861,65;6733111,59;1980746,81;7110637,37;;;2025-04-18T09:23:33
2017_19;2017-05-08;Overig;FYSIEK;FS;S;1;7;0;0;0;0;0;0;0;0;0;0;243989,54;819134,66;227344,66;768905,03;227344,66;768905,03;243989,54;819134,66;;;2025-04-18T09:23:33
2017_19;2017-05-08;Pekela;FYSIEK;FS;S;0;2;0;0;0;0;0;0;0;0;0;0;248736,709;935812,8362;230684,619;865649,2762;230684,65;865649,4;248736,74;935812,96;;;2025-04-18T09:23:33
2017_19;2017-05-08;Tynaarlo;FYSIEK;FS;S;2;24;0;0;0;0;0;0;0;0;0;0;336498,4;621361,34;309639,05;573394,01;309639,05;573394,01;336498,4;621361,34;;;2025-04-18T09:23:33
2017_19;2017-05-08;Veendam;FYSIEK;FS;S;5;24;0;0;0;0;0;0;0;0;0;0;1023093,368;4101515,593;978401,4579;3910910,453;931721,15;3737526,41;976413,06;3928131,55;;;2025-04-18T09:23:33
2017_19;2017-05-08;Westerkwartier;FYSIEK;FS;S;1;20;0;0;0;0;0;0;0;0;0;0;1190927,616;4577373,42;1104407,896;4209105,25;1044592,84;3995480,05;1131112,56;4363748,22;;;2025-04-18T09:23:33
2017_20;2017-05-15;Aa en Hunze;FYSIEK;FS;S;1;15;0;0;0;0;0;0;0;0;0;0;318791,13;1370957,49;308234,43;1354368,39;308234,43;1354368,39;318791,13;1370957,49;;;2025-04-18T09:23:33
2017_20;2017-05-15;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;210000;35000;210000;35000;210000;35000;210000;;;2025-04-18T09:23:33
2017_20;2017-05-15;Eemsdelta;FYSIEK;FS;S;23;210;0;0;0;0;0;0;0;0;0;0;11986579,71;51598151,04;11059817,77;47640589,92;10386085,91;45320512,96;11393177,13;49603495,23;;;2025-04-18T09:23:33
2017_20;2017-05-15;Groningen;FYSIEK;FS;S;38;312;0;0;0;0;0;0;0;0;0;0;19254428,63;82390440,22;17999844,83;77232402,31;16988674,4;73411928,84;18263446,2;78644950,75;;;2025-04-18T09:23:33
2017_20;2017-05-15;Het Hogeland;FYSIEK;FS;S;19;144;0;0;0;0;0;0;0;0;0;0;7627544,211;28975548,88;7013639,071;26635066,25;6861027,32;26070027,95;7510478,67;28664412,08;;;2025-04-18T09:23:33
2017_20;2017-05-15;Midden-Groningen;FYSIEK;FS;S;19;219;0;0;0;0;0;0;0;0;0;0;13143832,17;55002952,98;12272489,62;51439309,26;11673135,39;48353361,07;12547188,34;51927459,19;;;2025-04-18T09:23:33
2017_20;2017-05-15;Noordenveld;FYSIEK;FS;S;0;3;0;0;0;0;0;0;0;0;0;0;329707,98;957780,18;300154,75;867651,22;300154,75;867651,22;329707,98;957780,18;;;2025-04-18T09:23:33
2017_20;2017-05-15;Oldambt;FYSIEK;FS;S;3;37;0;0;0;0;0;0;0;0;0;0;2042798,24;9153435,61;1921538,89;8654650,48;1921538,89;8654650,48;2042798,24;9153435,61;;;2025-04-18T09:23:33
2017_20;2017-05-15;Overig;FYSIEK;FS;S;1;8;0;0;0;0;0;0;0;0;0;0;286487,58;1105622,24;265404,78;1034309,81;265404,78;1034309,81;286487,58;1105622,24;;;2025-04-18T09:23:33
2017_20;2017-05-15;Pekela;FYSIEK;FS;S;0;2;0;0;0;0;0;0;0;0;0;0;248736,709;1184549,545;230684,619;1096333,895;230684,65;1096334,05;248736,74;1184549,7;;;2025-04-18T09:23:33
2017_20;2017-05-15;Tynaarlo;FYSIEK;FS;S;3;27;0;0;0;0;0;0;0;0;0;0;419306,35;1040667,69;386246,27;959640,28;386246,27;959640,28;419306,35;1040667,69;;;2025-04-18T09:23:33
2017_20;2017-05-15;Veendam;FYSIEK;FS;S;0;24;0;0;0;0;0;0;0;0;0;0;1162036,154;5263551,747;1112763,224;5023673,677;1066082,92;4803609,33;1115355,85;5043487,4;;;2025-04-18T09:23:33
2017_20;2017-05-15;Westerkwartier;FYSIEK;FS;S;0;20;0;0;0;0;0;0;0;0;0;0;1200927,616;5778301,035;1114407,896;5323513,145;1054592,84;5050072,89;1141112,56;5504860,78;;;2025-04-18T09:23:33
2017_21;2017-05-22;Aa en Hunze;FYSIEK;FS;S;2;17;0;0;0;0;0;0;0;0;0;0;318791,13;1689748,62;308234,43;1662602,82;308234,43;1662602,82;318791,13;1689748,62;;;2025-04-18T09:23:33
2017_21;2017-05-22;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;245000;35000;245000;35000;245000;35000;245000;;;2025-04-18T09:23:33
2017_21;2017-05-22;Eemsdelta;FYSIEK;FS;S;13;223;0;0;0;0;0;0;0;0;0;0;12983652,61;64581803,65;11980967,58;59621557,5;11296558;56617070,96;12390250,03;61993745,26;;;2025-04-18T09:23:33
2017_21;2017-05-22;Groningen;FYSIEK;FS;S;25;337;0;0;0;0;0;0;0;0;0;0;20749212,47;103139652,7;19369172,9;96601575,21;18239246,96;91651175,8;19639474,53;98284425,28;;;2025-04-18T09:23:33
2017_21;2017-05-22;Het Hogeland;FYSIEK;FS;S;10;154;0;0;0;0;0;0;0;0;0;0;8828588,863;37804137,74;8136999,313;34772065,56;7804687,73;33874715,68;8531823,49;37196235,57;;;2025-04-18T09:23:33
2017_21;2017-05-22;Midden-Groningen;FYSIEK;FS;S;71;290;0;0;0;0;0;0;0;0;0;0;15107872,7;70110825,68;14105962,68;65545271,94;13451077,11;61804438,18;14455697,53;66383156,72;;;2025-04-18T09:23:33
2017_21;2017-05-22;Noordenveld;FYSIEK;FS;S;0;3;0;0;0;0;0;0;0;0;0;0;329707,98;1287488,16;300154,75;1167805,97;300154,75;1167805,97;329707,98;1287488,16;;;2025-04-18T09:23:33
2017_21;2017-05-22;Oldambt;FYSIEK;FS;S;3;40;0;0;0;0;0;0;0;0;0;0;2281069,005;11434504,61;2145620,785;10800271,26;2145620,79;10800271,27;2281069,01;11434504,62;;;2025-04-18T09:23:33
2017_21;2017-05-22;Overig;FYSIEK;FS;S;1;9;0;0;0;0;0;0;0;0;0;0;548774,97;1654397,21;498224,61;1532534,42;498224,61;1532534,42;548774,97;1654397,21;;;2025-04-18T09:23:33
2017_21;2017-05-22;Pekela;FYSIEK;FS;S;0;2;0;0;0;0;0;0;0;0;0;0;248736,709;1433286,254;230684,619;1327018,514;230684,65;1327018,7;248736,74;1433286,44;;;2025-04-18T09:23:33
2017_21;2017-05-22;Tynaarlo;FYSIEK;FS;S;1;28;0;0;0;0;0;0;0;0;0;0;651122,05;1691789,74;605646,93;1565287,21;605646,93;1565287,21;651122,05;1691789,74;;;2025-04-18T09:23:33
2017_21;2017-05-22;Veendam;FYSIEK;FS;S;3;27;0;0;0;0;0;0;0;0;0;0;1179156,332;6442708,079;1129756,742;6153430,419;1074854,39;5878463,72;1124253,98;6167741,38;;;2025-04-18T09:23:33
2017_21;2017-05-22;Westerkwartier;FYSIEK;FS;S;1;21;0;0;0;0;0;0;0;0;0;0;1283449,036;7061750,071;1194045,716;6517558,861;1134230,66;6184303,55;1223633,98;6728494,76;;;2025-04-18T09:23:33
2017_22;2017-05-29;Aa en Hunze;FYSIEK;FS;S;0;17;0;0;0;0;0;0;0;0;0;0;318791,13;2008539,75;308234,43;1970837,25;308234,43;1970837,25;318791,13;2008539,75;;;2025-04-18T09:23:33
2017_22;2017-05-29;Assen;FYSIEK;FS;S;0;1;0;0;0;0;0;0;0;0;0;0;35000;280000;35000;280000;35000;280000;35000;280000;;;2025-04-18T09:23:33
2017_22;2017-05-29;Eemsdelta;FYSIEK;FS;S;33;256;0;0;0;0;0;0;0;0;0;0;14991157,99;79572961,65;13837949,2;73459506,71;13075780,04;69692851;14373173,85;76366919,11;;;2025-04-18T09:23:33
2017_22;2017-05-29;Groningen;FYSIEK;FS;S;55;392;0;0;0;0;0;0;0;0;0;0;23752840,19;126892492,9;22134144,8;118735720;20844522,18;112495698;22483405,57;120767830,9;;;2025-04-18T09:23:33
2017_22;2017-05-29;Het Hogeland;FYSIEK;FS;S;15;169;0;0;0;0;0;0;0;0;0;0;9326276,49;47130414,23;8594807,02;43366872,58;8206578,63;42081294,31;8973594,31;46169829,88;;;2025-04-18T09:23:33
2017_22;2017-05-29;Midden-Groningen;FYSIEK;FS;S;215;505;0;0;0;0;0;0;0;0;0;0;29313115,31;99423940,99;27215390,84;92760662,78;25883013,15;87687451,33;28049873,61;94433030,33;;;2025-04-18T09:23:33
2017_22;2017-05-29;Noordenveld;FYSIEK;FS;S;0;3;0;0;0;0;0;0;0;0;0;0;329707,98;1617196,14;300154,75;1467960,72;300154,75;1467960,72;329707,98;1617196,14;;;2025-04-18T09:23:33
